transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000526,card_00769,2026-01-22T13:08:15Z,atm_withdrawal,False,False,dev_000193,SG,914
txn_0000527,card_00693,2026-01-14T17:25:51Z,grocery,True,False,dev_000282,IN,42833
txn_0000528,card_00220,2026-01-08T16:17:24Z,restaurant,True,False,dev_002670,US,1968
txn_0000529,card_00792,2026-01-06T18:18:52Z,electronics,True,False,dev_001780,IN,20670
txn_0000530,card_00555,2026-01-27T19:35:28Z,entertainment,False,False,dev_000851,DE,971
txn_0000531,card_00082,2026-01-11T00:46:13Z,pharmacy,True,False,dev_001261,SG,43533
txn_0000532,card_00635,2026-01-07T06:16:23Z,travel,True,False,dev_004296,GB,3357
txn_0000533,card_00039,2026-01-02T17:42:26Z,online_retail,False,False,dev_000075,GB,18528
txn_0000534,card_00651,2026-01-26T07:39:23Z,electronics,True,False,dev_003909,DE,2895
txn_0000535,card_00100,2026-01-20T06:05:21Z,utilities,True,False,dev_001254,US,21929
txn_0000536,card_00101,2026-01-29T13:18:30Z,entertainment,True,False,dev_003361,US,16183
txn_0000537,card_00813,2026-01-21T08:38:10Z,restaurant,False,False,dev_001410,US,27691
txn_0000538,card_00826,2026-01-16T23:50:46Z,utilities,True,False,dev_000152,GB,4028
txn_0000539,card_00335,2026-01-25T12:40:19Z,travel,True,False,dev_003922,IN,37317
txn_0000540,card_00306,2026-01-04T12:02:39Z,atm_withdrawal,True,False,dev_004813,IN,1444
txn_0000541,card_00748,2026-01-24T23:17:15Z,travel,True,False,dev_000285,IN,4241
txn_0000542,card_00661,2026-01-17T13:02:31Z,online_retail,True,False,dev_002498,GB,16625
txn_0000543,card_00362,2026-01-06T18:59:37Z,utilities,True,False,dev_004260,IN,8925
txn_0000544,card_00642,2026-01-22T11:53:10Z,utilities,True,False,dev_004821,IN,3097
txn_0000545,card_00676,2026-01-07T01:49:22Z,fuel,False,False,dev_004895,GB,964
txn_0000546,card_00227,2026-01-13T22:35:59Z,travel,False,False,dev_001257,IN,12301
txn_0000547,card_00342,2026-01-18T20:03:43Z,travel,True,False,dev_002460,GB,12040
txn_0000548,card_00460,2026-01-06T15:21:51Z,pharmacy,False,False,dev_003583,AE,26213
txn_0000549,card_00625,2026-01-30T16:20:09Z,fuel,False,False,dev_003803,DE,6032
txn_0000550,card_00787,2026-01-08T05:16:09Z,entertainment,False,False,dev_000045,DE,3503
txn_0000551,card_00167,2026-01-26T17:15:25Z,restaurant,True,False,dev_004502,AE,3800
txn_0000552,card_00502,2026-01-13T14:48:48Z,online_retail,True,True,dev_000413,AE,293465
txn_0000553,card_00682,2026-01-30T17:20:43Z,restaurant,True,False,dev_002676,US,25505
txn_0000554,card_00194,2026-01-17T19:09:08Z,entertainment,True,False,dev_003119,SG,8641
txn_0000555,card_00128,2026-01-04T06:29:10Z,entertainment,False,False,dev_003432,US,11824
txn_0000556,card_00221,2026-01-09T16:41:41Z,pharmacy,True,False,dev_002892,IN,8008
txn_0000557,card_00335,2026-01-19T07:59:54Z,online_retail,False,False,dev_002969,IN,13528
txn_0000558,card_00033,2026-01-17T12:37:58Z,fuel,False,False,dev_001154,IN,7385
txn_0000559,card_00556,2026-01-05T08:48:38Z,fuel,False,False,dev_001136,US,10556
txn_0000560,card_00564,2026-01-11T17:34:40Z,electronics,True,False,dev_000356,IN,958
txn_0000561,card_00556,2026-01-19T19:36:29Z,atm_withdrawal,True,False,dev_002471,SG,9845
txn_0000562,card_00027,2026-01-02T02:32:58Z,entertainment,True,False,dev_003350,SG,46709
txn_0000563,card_00811,2026-01-02T08:10:52Z,travel,False,False,dev_002354,GB,6413
txn_0000564,card_00767,2026-01-26T22:31:13Z,pharmacy,False,False,dev_001410,US,19008
txn_0000565,card_00366,2026-01-08T12:20:43Z,atm_withdrawal,True,True,dev_003944,GB,16674
txn_0000566,card_00405,2026-01-03T20:04:56Z,atm_withdrawal,False,False,dev_002802,IN,3043
txn_0000567,card_00138,2026-01-15T06:27:37Z,fuel,True,False,dev_000970,GB,2126
txn_0000568,card_00214,2026-01-09T02:18:37Z,travel,False,False,dev_003618,AE,2301
txn_0000569,card_00736,2026-01-27T07:58:21Z,fuel,False,False,dev_002794,SG,5347
txn_0000570,card_00650,2026-01-04T20:58:52Z,online_retail,True,False,dev_001145,AE,13284
txn_0000571,card_00432,2026-01-28T22:14:29Z,travel,False,False,dev_002590,IN,2052
txn_0000572,card_00898,2026-01-12T09:42:47Z,online_retail,True,False,dev_004900,US,112662
txn_0000573,card_00865,2026-01-18T21:47:04Z,travel,True,True,dev_001385,IN,23654
txn_0000574,card_00097,2026-01-30T06:46:53Z,pharmacy,False,False,dev_002166,GB,2404
txn_0000575,card_00121,2026-01-20T11:18:07Z,fuel,True,False,dev_004587,SG,7237
txn_0000576,card_00541,2026-01-22T08:02:01Z,travel,True,False,dev_001479,GB,2745
txn_0000577,card_00183,2026-01-12T04:29:25Z,utilities,False,False,dev_004701,GB,3517
txn_0000578,card_00481,2026-01-25T14:53:57Z,grocery,True,False,dev_002683,IN,8413
txn_0000579,card_00056,2026-01-07T09:15:24Z,fuel,False,False,dev_002702,US,43205
txn_0000580,card_00730,2026-01-22T08:48:50Z,electronics,False,False,dev_000034,SG,7389
txn_0000581,card_00666,2026-01-12T07:42:05Z,entertainment,False,False,dev_001612,AE,2432
txn_0000582,card_00700,2026-01-18T13:36:19Z,travel,False,False,dev_004588,US,20466
txn_0000583,card_00049,2026-01-01T04:24:36Z,utilities,False,False,dev_001202,US,32427
txn_0000584,card_00212,2026-01-08T17:55:16Z,electronics,True,False,dev_002652,IN,24503
txn_0000585,card_00619,2026-01-20T12:36:19Z,electronics,True,False,dev_003380,DE,955
txn_0000586,card_00150,2026-01-04T06:53:41Z,entertainment,False,False,dev_000016,US,3935
txn_0000587,card_00128,2026-01-19T06:50:03Z,atm_withdrawal,True,False,dev_002991,SG,11541
txn_0000588,card_00024,2026-01-09T23:03:24Z,fuel,False,False,dev_002360,IN,4686
txn_0000589,card_00211,2026-01-26T06:54:43Z,travel,False,False,dev_003525,IN,6714
txn_0000590,card_00389,2026-01-29T15:34:12Z,entertainment,False,False,dev_003298,AE,46800
txn_0000591,card_00655,2026-01-30T04:41:08Z,restaurant,False,False,dev_001116,SG,5679
txn_0000592,card_00588,2026-01-13T17:50:44Z,fuel,True,False,dev_001508,US,8807
txn_0000593,card_00114,2026-01-21T06:13:40Z,online_retail,True,False,dev_001699,DE,4891
txn_0000594,card_00466,2026-01-20T18:20:55Z,electronics,True,False,dev_001627,US,3916
txn_0000595,card_00393,2026-01-10T13:12:58Z,restaurant,True,False,dev_004497,SG,53023
txn_0000596,card_00652,2026-01-20T05:21:41Z,fuel,True,False,dev_000549,IN,2432
txn_0000597,card_00282,2026-01-17T19:58:38Z,restaurant,True,False,dev_001106,IN,9918
txn_0000598,card_00847,2026-01-21T09:22:23Z,fuel,True,False,dev_004402,AE,4448
txn_0000599,card_00686,2026-01-10T12:51:27Z,electronics,False,False,dev_000073,GB,2255
txn_0000600,card_00241,2026-01-07T04:33:00Z,utilities,False,False,dev_003394,GB,28971
txn_0000601,card_00532,2026-01-16T03:48:24Z,pharmacy,True,False,dev_001793,SG,21780
txn_0000602,card_00794,2026-01-03T06:29:31Z,fuel,False,False,dev_001381,DE,3381
txn_0000603,card_00685,2026-01-13T06:15:10Z,utilities,True,False,dev_004930,US,4482
txn_0000604,card_00279,2026-01-01T01:59:47Z,entertainment,False,False,dev_003738,GB,12815
txn_0000605,card_00527,2026-01-11T05:19:37Z,atm_withdrawal,False,False,dev_001449,GB,8427
txn_0000606,card_00567,2026-01-11T23:00:02Z,restaurant,True,False,dev_002280,DE,2882
txn_0000607,card_00386,2026-01-23T04:09:31Z,grocery,False,False,dev_002728,GB,3176
txn_0000608,card_00393,2026-01-17T21:29:17Z,entertainment,True,False,dev_001819,SG,6258
txn_0000609,card_00222,2026-01-18T06:30:00Z,entertainment,True,False,dev_003399,IN,45380
txn_0000610,card_00130,2026-01-09T17:16:42Z,electronics,True,False,dev_003585,SG,4552
txn_0000611,card_00043,2026-01-05T14:28:25Z,utilities,True,False,dev_004851,US,9000
txn_0000612,card_00418,2026-01-10T08:17:41Z,atm_withdrawal,False,False,dev_000199,IN,2932
txn_0000613,card_00649,2026-01-26T11:40:10Z,atm_withdrawal,False,False,dev_004735,SG,5877
txn_0000614,card_00621,2026-01-08T06:01:47Z,utilities,False,False,dev_000039,US,10245
txn_0000615,card_00090,2026-01-09T23:47:42Z,grocery,False,False,dev_001140,DE,670
txn_0000616,card_00008,2026-01-19T07:26:48Z,pharmacy,True,False,dev_004965,SG,17183
txn_0000617,card_00694,2026-01-27T23:10:52Z,atm_withdrawal,True,False,dev_002779,IN,3012
txn_0000618,card_00673,2026-01-18T22:47:03Z,electronics,True,False,dev_002885,GB,7742
txn_0000619,card_00098,2026-01-22T23:09:18Z,electronics,True,False,dev_003123,SG,44465
txn_0000620,card_00039,2026-01-30T17:38:45Z,electronics,True,False,dev_000693,IN,21213
txn_0000621,card_00486,2026-01-18T06:19:55Z,restaurant,True,False,dev_003893,US,5476
txn_0000622,card_00562,2026-01-25T04:38:23Z,grocery,False,False,dev_002115,SG,11580
txn_0000623,card_00820,2026-01-30T23:44:14Z,electronics,True,False,dev_001813,SG,8787
txn_0000624,card_00584,2026-01-09T00:45:58Z,entertainment,True,False,dev_003215,IN,738
